Key,Virtual Compound Preferred Name,EUbOPEN Compound ID,Compound SMILES,Compound InChi Key,Protein Family,Target ID,NCBI Gene ID,UniProt ID,Synonyms,Mode of Action,Negative Control (In Case of Probe),Affinity Biochemical (nM),Affinity Biochemical Definition,Affinity Biochemical Assay Type,Affinity Biochemical Source Knowledge,Affinity Biochemical Relation,Affinity On-target Cellular (nM),Affinity On-target Cellular Definition,Affinity On-target Cellular Assay Type,Affinity on-target cellular Source Knowledge,Affinity On-target Cellular Relation,Selectivity Number of Off-targets,Selectivity Platform,Selectivity Platform Number of Targets,Selectivity Remarks,Selectivity Source Knowledge,CG-Set,Recommended Concentration,,,,,,,EUB0000366a
EUB0000132b_MAPK14,SR318,EUB0000132b,Nc1c(C(=O)NCc2ccc(C(=O)NCCCC3CCCCC3)cc2)cnn1-c1ccccc1,HXNUFFCHRIWTRZ-UHFFFAOYSA-N,Protein Kinase,MAPK14,1432,Q16539,"PRKM14, p38, Mxi2, PRKM15",Inhibitor,SR321,5,IC50,Radiometric activity assay (ProQinase),https://doi.org/10.1021/acs.jmedchem.9b01227,=,3.7,IC50,NanoBRET assay (HEK293T cells),,=,0,KinomeScan (DiscoverX),403,"Screened at 1 µM, closest targets in the screen: DDR1, DDR2, KIT, ZAK, RSK, MYLK4, but confirmed by NanoBRET as false positive (IC50s of 910-140000 nM)",https://doi.org/10.1021/acs.jmedchem.9b01227,Kinase set,1 µM,,,,,,,
EUB0000133b_STK6,Alisertib,EUB0000133b,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,ZLHFILGSQDJULK-UHFFFAOYSA-N,Protein Kinase,STK6,6790,O14965,"BTAK, AurA, STK7, ARK1, PPP1R47, AIK",Inhibitor,,1.2,IC50,Radioactive Flashplate assay,https://aacrjournals.org/clincancerres/article/17/24/7614/204920/Characterization-of-Alisertib-MLN8237-an,=,6.7,IC50,Immunostaining (pThr288 autophosphorylation assay in HeLa cells),https://aacrjournals.org/clincancerres/article/17/24/7614/204920/Characterization-of-Alisertib-MLN8237-an,=,,SelectScreen kinase panel (Invitrogen),205,"Screened at 1 µM, closest targets as % of inhibition: BLK (92%), CAMK2A (95%), EPHA2 (100%), EPHA4 (94%), FGFR2 (90%), FGR (97%), MAPKAPK3 (91%), NTRK3 (91%); Proteomics (Kinobeads assays), in-vitro potencies of closest targets: Kdapp(AURKA) = 5 nM, Kdapp(ACAD10) = 78 nM, Kdapp(AURKB) = 195 nM, Kdapp(PDPK1) = 289 nM, Kdapp(EPHA2) = 309 nM, Kdapp(EPHA4) = 455 nM, Kdapp(DNAJA1) = 962 nM, Kd(ABL2) = 1009 nM, Kdapp(GNAI2) = 184 nM, Kdapp(PSMA7) = 405 nM, Kdapp(MCM4) = 629 nM, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6542668/;",https://aacrjournals.org/clincancerres/article/17/24/7614/204920/Characterization-of-Alisertib-MLN8237-an,Kinase set,100 nM,,,,,,,
EUB0000134b_ROCK1,GSK429286A,EUB0000134b,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,OLIIUAHHAZEXEX-UHFFFAOYSA-N,Protein Kinase,ROCK1,6093,Q13464,p160ROCK,Inhibitor,,14,IC50,Scintillation Proximity Assay (SPA),"https://doi.org/10.1021/jm0609014,  https://doi.org/10.1042/BJ20091035",=,,,,,,3,KinomeScan,317,"Screened at 10 µM, closest targets as % contr.: JAK3(JH1 catalytic domain) (3.2%), PRKACA (4.2%), PRKACB (6.4%); Additionally screened against 85 kinase targets at 1 µM, closest target as % of contr.: RPS6KA2 (20%), PMID: 19740074;",https://lincs.hms.harvard.edu/db/sm/10012-101/,Kinase set,1 µM,,,,,,,
EUB0000134b_ROCK2,GSK429286A,EUB0000134b,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,OLIIUAHHAZEXEX-UHFFFAOYSA-N,Protein Kinase,ROCK2,9475,O75116,,Inhibitor,,63,IC50,Enzymatic inhibition assay (100 µM ATP),"https://doi.org/10.1021/jm0609014,  https://doi.org/10.1042/BJ20091035",=,,,,,,3,KinomeScan,317,"Screened at 10 µM, closest targets as % contr.: JAK3(JH1 catalytic domain) (3.2%), PRKACA (4.2%), PRKACB (6.4%); Additionally screened against 85 kinase targets at 1 µM, closest target as % of contr.: RPS6KA2 (20%), PMID: 19740074;",https://lincs.hms.harvard.edu/db/sm/10012-101/,Kinase set,1 µM,,,,,,,
EUB0000135b_BRAF,GDC-0879,EUB0000135b,OCCn1cc(-c2ccc3c(c2)CCC3=NO)c(-c2ccncc2)n1,DEZZLWQELQORIU-UHFFFAOYSA-N,Protein Kinase,BRAF,673,P15056,BRAF1,Inhibitor,,0.13,IC50,Radiometric assay,https://doi.org/10.1016/j.bmcl.2008.07.002,=,,,,,,1,"Kinase panel, literature",212,"Screened at 1 µM, closest target as % of contr.: RAF1 (8%)",https://doi.org/10.1016/j.bmcl.2008.07.002,Kinase set,100 nM,,,,,,,
EUB0000138c_PTK2,PF-04554878,EUB0000138c,CNC(C1=CC=C(NC2=NC=C(C(F)(F)F)C(NCC3=C(N(S(C)(=O)=O)C)N=CC=N3)=N2)C=C1)=O,FWLMVFUGMHIOAA-UHFFFAOYSA-N,Protein Kinase,PTK2,5747,Q05397,"FAK, FADK, FAK1, PPP1R71",Inhibitor,PF-00911705,0.2,IC50,Binding assay,https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/PF-04554878,=,3,IC50,Inhibition of human PTK2 phosphorylation in A431 cells,,=,11,KinomeScan (DiscoverX),448,"Screened at 0.1 µM, closest targets as % of contr.: CLK2 (0%), FLT3(N841I) (0%), FLT3(D835V) (0.2%), YSK4 (1.7%), JAK2 (4.8%), FLT3(D835Y) (5.9%), STK16 (7.7%), JAK3 (8.2), TTK (8.3%), FLT3(ITD,F691L) (9%), FLT3(D835H) (9.8%); Screened in Invitrogen panel at 10 µM, closest targets: IC50(NTRK1) = 56 nM, IC50(MAP3K9) = 75.3 nM; Screened in CEREP panel against 122 human receptors, ion channels, enzymes, closest target: Ki(ADORA3) = 27 nM; Screened in GPCR screen against 45 targets at 10 µM, clean profile;",https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/PF-04554878,Kinase set,100 nM,,,,,,,
EUB0000138c_PTK2B,PF-04554878,EUB0000138c,CNC(C1=CC=C(NC2=NC=C(C(F)(F)F)C(NCC3=C(N(S(C)(=O)=O)C)N=CC=N3)=N2)C=C1)=O,FWLMVFUGMHIOAA-UHFFFAOYSA-N,Protein Kinase,PTK2B,2185,Q14289,"CAKB, PYK2, RAFTK, PTK, CADTK",Inhibitor,PF-00911705,0.2,IC50,Binding assay,https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/PF-04554878,=,,,,,,11,KinomeScan (DiscoverX),448,"Screened at 0.1 µM, closest targets as % of contr.: CLK2 (0%), FLT3(N841I) (0%), FLT3(D835V) (0.2%), YSK4 (1.7%), JAK2 (4.8%), FLT3(D835Y) (5.9%), STK16 (7.7%), JAK3 (8.2), TTK (8.3%), FLT3(ITD,F691L) (9%), FLT3(D835H) (9.8%); Screened in Invitrogen panel at 10 µM, closest targets: IC50(NTRK1) = 56 nM, IC50(MAP3K9) = 75.3 nM; Screened in CEREP panel against 122 human receptors, ion channels, enzymes, closest target: Ki(ADORA3) = 27 nM; Screened in GPCR screen against 45 targets at 10 µM, clean profile;",https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/PF-04554878,Kinase set,100 nM,,,,,,,
EUB0000143b_EPHA2,NVP-BHG712,EUB0000143b,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,ZCCPLJOKGAACRT-UHFFFAOYSA-N,Protein Kinase,EPHA2,1969,P29317,,Inhibitor,,13,IC50,Microscale thermophoresis (MST) assay,https://doi.org/10.1002/cmdc.201800398,=,3,IC50,NanoBRET assay (HEK293T cells),,=,1,"Kinobeads competition assays (Proteomics), literature",1483,"Closest targets: Kd(EPHA5) = 37.9 nM, other targets with low Kd values determined, however targets areof low- to no confidence; Cellular potency of closely related targets (NanoBRET assay in HEK293T cells): IC50(EPHA1) = 330 nM, IC50(EPHA3) = 1000 nM, IC50(EPHA4) = 100 nM, IC50(EPHA5) = 37 nM, IC50(EPHA6) = 2000 nM, IC50(EPHA7) = 2000 nM, IC50(EPHA8) = 12 nM, IC50(EPHB1) = 1000 nM, IC50(EPHB2) = 37 nM, IC50(EPHB3) = 330 nM, IC50(EPHB6) = 330 nM;Screened against 40 kinases in TR-FRET-based LanthaScreen™ and Caliper mobility shift assays, closest targets: IC50(RAF1) = 395 nM, IC50(c-Sarc) = 1266 nM, IC50(c-ABL) = 1667 nM, others >10 µM (PMID: 20803239)",https://doi.org/10.1002/cmdc.201800398,Kinase set,100 nM,,,,,,,
EUB0000143b_EPHB4,NVP-BHG712,EUB0000143b,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,ZCCPLJOKGAACRT-UHFFFAOYSA-N,Protein Kinase,EPHB4,2050,P54760,Tyro11,Inhibitor,,6,IC50,Microscale thermophoresis (MST) assay,https://doi.org/10.1002/cmdc.201800398,=,3,IC50,NanoBRET assay (HEK293T cells),,=,1,"Kinobeads competition assays (Proteomics), literature",1483,"Closest targets: Kd(EPHA5) = 37.9 nM, other targets with low Kd values determined, however targets areof low- to no confidence; Cellular potency of closely related targets (NanoBRET assay in HEK293T cells): IC50(EPHA1) = 330 nM, IC50(EPHA3) = 1000 nM, IC50(EPHA4) = 100 nM, IC50(EPHA5) = 37 nM, IC50(EPHA6) = 2000 nM, IC50(EPHA7) = 2000 nM, IC50(EPHA8) = 12 nM, IC50(EPHB1) = 1000 nM, IC50(EPHB2) = 37 nM, IC50(EPHB3) = 330 nM, IC50(EPHB6) = 330 nM;Screened against 40 kinases in TR-FRET-based LanthaScreen™ and Caliper mobility shift assays, closest targets: IC50(RAF1) = 395 nM, IC50(c-Sarc) = 1266 nM, IC50(c-ABL) = 1667 nM, others >10 µM (PMID: 20803239)",https://doi.org/10.1002/cmdc.201800398,Kinase set,100 nM,,,,,,,
EUB0000147b_MERTK,LDC1267,EUB0000147b,CCOc1cn(-c2ccc(F)cc2C)nc1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(F)c1,ISPBCAXOSOLFME-UHFFFAOYSA-N,Protein Kinase,MERTK,10461,Q12866,"mer, RP38, c-Eyk, Tyro12",Inhibitor,,5,IC50,HTRF assay,https://doi.org/0.1038/nature12998,=,,,,,,29,KinomeScan (DiscoverX),465,"Screened at 1 µM, closest targets with",https://doi.org/0.1038/nature12998,Kinase set,100 nM,,,,,,,
EUB0000147b_TYRO3,LDC1267,EUB0000147b,CCOc1cn(-c2ccc(F)cc2C)nc1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(F)c1,ISPBCAXOSOLFME-UHFFFAOYSA-N,Protein Kinase,TYRO3,7301,Q06418,"Dtk, Brt, Tif, Sky, Etk-2, Rek",Inhibitor,,8,IC50,HTRF assay,https://doi.org/0.1038/nature12998,=,,,,,,29,KinomeScan (DiscoverX),465,"Screened at 1 µM, closest targets with",https://doi.org/0.1038/nature12998,Kinase set,100 nM,,,,,,,
EUB0000147b_AXL,LDC1267,EUB0000147b,CCOc1cn(-c2ccc(F)cc2C)nc1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(F)c1,ISPBCAXOSOLFME-UHFFFAOYSA-N,Protein Kinase,AXL,558,P30530,"UFO, JTK11, Tyro7, ARK",Inhibitor,,29,IC50,HTRF assay,https://doi.org/0.1038/nature12998,=,19,Kd,Quantitative chemical proteomics in Hs578t cells,,=,29,KinomeScan (DiscoverX),465,"Screened at 1 µM, closest targets with",https://doi.org/0.1038/nature12998,Kinase set,100 nM,,,,,,,
EUB0000153b_PDPK1,GSK2334470,EUB0000153b,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,QLPHOXTXAKOFMU-WBVHZDCISA-N,Protein Kinase,PDPK1,5170,O15530,PDK1,Inhibitor,,2.5,IC50,Enzymatic inhibition assay,https://doi.org/10.1021/jm101527u,=,,,,,,7,Kinase panel (Millipore),285,"Screened at 10 µM, closest targets as % of contr.: SGK2 (0%), PRKX (4%), RSK4 (12%), SGK (13%), RSK3 (14%), NUAK1 (16%), ROCK2 (17%); Screened against panel of 13 kinases (PDK, AKT1, ALK5, ASK1, AURA, AURB, EGFR, GSK3B, IKK1, PIK3CG, ROCK1, SYK, VEGFR2): IC50(ODK) = 2.5 nM, IC50(AURB) = 3162 nM, IC50(ROCK1) = 7943 nM, others >10 µM;",https://doi.org/10.1021/jm101527u,Kinase set,1 µM,,,,,,,
EUB0000154b_PRKCA,Enzastaurin,EUB0000154b,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,Protein Kinase,PRKCA,5578,P17252,PKCalpha,Inhibitor,,39,IC50,Filter-binding assays,https://doi.org/10.1158/0008-5472.CAN-05-0071,=,,,,,,10,KinomeScan (DiscoverX),456,"Screened at 1 µM, follow-up Kds for closest targets: Kd(GSK3B) = 8.3 nM, Kd(PRKCD) = 25 nM, Kd(RSK4) = 25 nM, Kd(PRKCQ) = 36 nM, Kd(FLT3(D835Y)) = 40 nM, Kd(PRKCH) = 46 nM, Kd(FLT3(D835H)) = 49 nM, Kd(FLT3(ITD)) = 72 nM, Kd(MAPK15) = 76 nM, Kd(RSK2Kd) = 87 nM, 18 other targets with Kd 0.1-1 µM;",https://www.guidetopharmacology.org/GRAC/LigandScreenDisplayForward?ligandId=5693&screenId=2,Kinase set,100 nM,,,,,,,
EUB0000154b_PRKCB,Enzastaurin,EUB0000154b,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,Protein Kinase,PRKCB,5579,P05771,PKCbeta,Inhibitor,,6,IC50,Filter-binding assays,https://doi.org/10.1158/0008-5472.CAN-05-0071,=,,,,,,10,KinomeScan (DiscoverX),456,"Screened at 1 µM, follow-up Kds for closest targets: Kd(GSK3B) = 8.3 nM, Kd(PRKCD) = 25 nM, Kd(RSK4) = 25 nM, Kd(PRKCQ) = 36 nM, Kd(FLT3(D835Y)) = 40 nM, Kd(PRKCH) = 46 nM, Kd(FLT3(D835H)) = 49 nM, Kd(FLT3(ITD)) = 72 nM, Kd(MAPK15) = 76 nM, Kd(RSK2Kd) = 87 nM, 18 other targets with Kd 0.1-1 µM;",https://www.guidetopharmacology.org/GRAC/LigandScreenDisplayForward?ligandId=5693&screenId=2,Kinase set,100 nM,,,,,,,
EUB0000154b_PRKCG,Enzastaurin,EUB0000154b,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,Protein Kinase,PRKCG,5582,P05129,"PKCCy, MGC57564, PKCgamma",Inhibitor,,83,IC50,Filter-binding assays,https://doi.org/10.1158/0008-5472.CAN-05-0071,=,,,,,,10,KinomeScan (DiscoverX),456,"Screened at 1 µM, follow-up Kds for closest targets: Kd(GSK3B) = 8.3 nM, Kd(PRKCD) = 25 nM, Kd(RSK4) = 25 nM, Kd(PRKCQ) = 36 nM, Kd(FLT3(D835Y)) = 40 nM, Kd(PRKCH) = 46 nM, Kd(FLT3(D835H)) = 49 nM, Kd(FLT3(ITD)) = 72 nM, Kd(MAPK15) = 76 nM, Kd(RSK2Kd) = 87 nM, 18 other targets with Kd 0.1-1 µM;",https://www.guidetopharmacology.org/GRAC/LigandScreenDisplayForward?ligandId=5693&screenId=2,Kinase set,100 nM,,,,,,,
EUB0000154b_PRKCE,Enzastaurin,EUB0000154b,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,Protein Kinase,PRKCE,5581,Q02156,,Inhibitor,,110,IC50,Filter-binding assays,https://doi.org/10.1158/0008-5472.CAN-05-0071,=,,,,,,10,KinomeScan (DiscoverX),456,"Screened at 1 µM, follow-up Kds for closest targets: Kd(GSK3B) = 8.3 nM, Kd(PRKCD) = 25 nM, Kd(RSK4) = 25 nM, Kd(PRKCQ) = 36 nM, Kd(FLT3(D835Y)) = 40 nM, Kd(PRKCH) = 46 nM, Kd(FLT3(D835H)) = 49 nM, Kd(FLT3(ITD)) = 72 nM, Kd(MAPK15) = 76 nM, Kd(RSK2Kd) = 87 nM, 18 other targets with Kd 0.1-1 µM;",https://www.guidetopharmacology.org/GRAC/LigandScreenDisplayForward?ligandId=5693&screenId=2,Kinase set,100 nM,,,,,,,
EUB0000156b_DDR1,DDR-TRK-1N (380079),EUB0000156b,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccccc3)CC4)cc(C(F)(F)F)c2)CC1,FWKRCZKMCJOFNG-UHFFFAOYSA-N,Protein Kinase,DDR1,780,Q08345,"RTK6, CD167",Negative control for DDR-TRK-1 (D2202-1),,,Negative Control,,https://www.thesgc.org/chemical-probes/DDR-TRK-1,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000156b_DDR2,DDR-TRK-1N (380079),EUB0000156b,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccccc3)CC4)cc(C(F)(F)F)c2)CC1,FWKRCZKMCJOFNG-UHFFFAOYSA-N,Protein Kinase,DDR2,4921,Q16832,TKT,Negative control for DDR-TRK-1 (D2202-1),,,Negative Control,,https://www.thesgc.org/chemical-probes/DDR-TRK-1,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000156b_NTRK1,DDR-TRK-1N (380079),EUB0000156b,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccccc3)CC4)cc(C(F)(F)F)c2)CC1,FWKRCZKMCJOFNG-UHFFFAOYSA-N,Protein Kinase,NTRK1,4914,P04629,"TRK, TRKA, MTC",Negative control for DDR-TRK-1 (D2202-1),,,Negative Control,,https://www.thesgc.org/chemical-probes/DDR-TRK-1,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000156b_NTRK2,DDR-TRK-1N (380079),EUB0000156b,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccccc3)CC4)cc(C(F)(F)F)c2)CC1,FWKRCZKMCJOFNG-UHFFFAOYSA-N,Protein Kinase,NTRK2,4915,Q16620,TRKB,Negative control for DDR-TRK-1 (D2202-1),,,Negative Control,,https://www.thesgc.org/chemical-probes/DDR-TRK-1,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000156b_NTRK3,DDR-TRK-1N (380079),EUB0000156b,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccccc3)CC4)cc(C(F)(F)F)c2)CC1,FWKRCZKMCJOFNG-UHFFFAOYSA-N,Protein Kinase,NTRK3,4916,Q16288,TRKC,Negative control for DDR-TRK-1 (D2202-1),,,Negative Control,,https://www.thesgc.org/chemical-probes/DDR-TRK-1,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000158b_BTK,CGI1746,EUB0000158b,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,JIFCFQDXHMUPGP-UHFFFAOYSA-N,Protein Kinase,BTK,695,Q06187,"ATK, XLA, PSCTK1",Inhibitor,,1.9,IC50,Lanthascreen assay (using 10 µM ATP),https://pubmed.ncbi.nlm.nih.gov/21113169/,=,,,,,,0,KinomeScan (Ambit),386,"Screened at 1 µM, closest targets as % of control: BTK (1%), CASK (41%); Kd follow-up of closest targets: Kd(BTK) = 1.5 nM, Kd(MINK1) = 40 µM; Screened at 1 µM (Kinase panel, UBI KinaseProfiler, 205 kinases Millipore screen, using Km = ATP), closest target as % of control: BTK (99%), FES(53%); Kinase panel (Enzymatic assay, 47 kinases, using Km = ATP) in-vitro potency of closest targets: IC50(BLK) = 7573 nM, IC50(BMX) = 1870 nM, IC50(ITK) = 4270 nM, IC50(PDGFRB) = 2440 nM, IC50(SRC) = 3650 nM, IC50(NTRK1) = 1885 nM, IC50(FLT4) = 3287 nM, others IC50 >10 µM; Screened at 1 µM against 82 non-kinase targets (CEREP screen), closest targets as % of inhibition: Adenosine A1 (31%), Adenosine A2A (34%), https://pubmed.ncbi.nlm.nih.gov/21113169/;",https://pubmed.ncbi.nlm.nih.gov/21113169/,Kinase set,1 µM,,,,,,,
EUB0000162b_CDK8,BI-1347,EUB0000162b,CN(C)C(=O)Cn1cc(-c2ccc(-c3cncc4ccccc34)cc2)cn1,WULUGQONDYDNKY-UHFFFAOYSA-N,Protein Kinase,CDK8,1024,P49336,K35,Inhibitor,BI-1374,1,IC50,Lantha screen (CDK8/cyclinC inhibition),https://opnme.com/molecules/cdk8-bi-1347,=,,,,,,,Invitrogen® panel,369,In-vitro potency of closest target: IC50(CDK11)  = 1.7 nM,https://opnme.com/molecules/cdk8-bi-1347#,Kinase set,100 nM,,,,,,,
EUB0000163b_CDK8,BI-1374,EUB0000163b,CN(C)C(=O)Cn1cc(-c2ccc(-c3nnc4ccccn34)cc2)cn1,ODRITQGYYWHQGM-INIZCTEOSA-N,Protein Kinase,CDK8,1024,P49336,K35,Negative control for BI-1347,,671,IC50,Lantha screen (CDK8/cyclinC inhibition),https://opnme.com/molecules/cdk8-bi-1347,=,,,,,,,,,,,Kinase set,100 nM,,,,,,,
EUB0000164c_PAK1,NVS-PAK1-1,EUB0000164c,CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,OINGHOPGNMYCAB-INIZCTEOSA-N,Protein Kinase,PAK1,5058,Q13153,,Allosteric inhibitor,NVS-PAK1-C,6,IC50,Caliper in vitro assay,https://www.thesgc.org/chemical-probes/nvs-pak1-1,=,250,IC50,Western Blot (inhibition of autophosphorylation of PAK (S144) in Su86.86 cell line),,=,1,KinomeScan (DiscoverX),442,"Screened at 10 µM, S(10) = 0.003, closest target: IC50(PAK2) = 72 nM; Screened against 27 receptors (Novartis panel) at 10 µM, closest target: IC50(H1) = 13 µM, IC50(M1) = 13 µM; Screened against panel of 48 bromodomains at 10 µM in DSF-assay, all targets dTm < 1 K clean profile",https://www.thesgc.org/chemical-probes/nvs-pak1-1,Kinase set,1 µM,,,,,,,
EUB0000165b_AAK1,SGC-AAK1-1,EUB0000165b,CCN(CC)S(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,UCBIQZUJJSVQHL-UHFFFAOYSA-N,Protein Kinase,AAK1,22848,Q2M2I8,"KIAA1048, DKFZp686K16132",Inhibitor,SGC-AAK1-1N,9.1,Ki,TR-FRET binding-displacement assays,"https://doi.org/10.1021/acsmedchemlett.9b00399,  https://www.thesgc.org/chemical-probes/SGC-AAK1-1",=,230,IC50,NanoBRET assay (HEK293T cells),,=,3,KinomeScan (DiscoverX),403,"Screened at 1 µM, S(10) = 0.02, follow-up Kds for closest targets: Kd(PIP5K1C) = 260 nM, Kd(RIOK1) = 72 nM, Kd(RIOK3) = 290 nM; Kd(RIOK3) = 290 nM, Kd(CDKL2) = 880 nM, Kd(MYLK2) = 960 nM;","https://doi.org/10.1021/acsmedchemlett.9b00399,  https://www.thesgc.org/chemical-probes/SGC-AAK1-1",Kinase set,1 µM,,,,,,,
EUB0000165b_BMP2K,SGC-AAK1-1,EUB0000165b,CCN(CC)S(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,UCBIQZUJJSVQHL-UHFFFAOYSA-N,Protein Kinase,BMP2K,55589,Q9NSY1,"DKFZp434K0614, BIKe",Inhibitor,SGC-AAK1-1N,17,Ki,TR-FRET binding-displacement assays,"https://doi.org/10.1021/acsmedchemlett.9b00399,  https://www.thesgc.org/chemical-probes/SGC-AAK1-1",=,1500,IC50,NanoBRET assay (HEK293T cells),,=,3,KinomeScan (DiscoverX),403,"Screened at 1 µM, S(10) = 0.02, follow-up Kds for closest targets: Kd(PIP5K1C) = 260 nM, Kd(RIOK1) = 72 nM, Kd(RIOK3) = 290 nM; Kd(RIOK3) = 290 nM, Kd(CDKL2) = 880 nM, Kd(MYLK2) = 960 nM;","https://doi.org/10.1021/acsmedchemlett.9b00399,  https://www.thesgc.org/chemical-probes/SGC-AAK1-1",Kinase set,1 µM,,,,,,,
EUB0000166b_AAK1,SGC-AAK1-1N,EUB0000166b,CC(C)C(=O)Nc1n[nH]c2cc(-c3cccc(NS(=O)(=O)C4CC4)c3)ccc12,RAIAORGFMNXPOV-UHFFFAOYSA-N,Protein Kinase,AAK1,22848,Q2M2I8,"KIAA1048, DKFZp686K16132",Negative control for SGC-AAK1-1,,,Negative Control,,"https://doi.org/10.1021/acsmedchemlett.9b00399,  https://www.thesgc.org/chemical-probes/SGC-AAK1-1",,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000166b_BMP2K,SGC-AAK1-1N,EUB0000166b,CC(C)C(=O)Nc1n[nH]c2cc(-c3cccc(NS(=O)(=O)C4CC4)c3)ccc12,RAIAORGFMNXPOV-UHFFFAOYSA-N,Protein Kinase,BMP2K,55589,Q9NSY1,"DKFZp434K0614, BIKe",Negative control for SGC-AAK1-1,,,Negative Control,,"https://doi.org/10.1021/acsmedchemlett.9b00399,  https://www.thesgc.org/chemical-probes/SGC-AAK1-1",,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000167b_CAMKK2,SGC-CAMKK2-1 (UNC-YL-36),EUB0000167b,Cc1cccc(-c2cnc3occ(-c4ccc(C(=O)O)c(C5CCCC5)c4)c3c2)c1,TXIYVFVMXNFNRX-UHFFFAOYSA-N,Protein Kinase,CAMKK2,10645,Q96RR4,"CAMKK, KIAA0787, CAMKKB, MGC15254",Inhibitor,SGC-CAMKK2-1N (UNC-YL-83),30,IC50,Enzymatic activity assay,https://www.thesgc.org/chemical-probes/SGC-CAMKK2-1,=,,,,,,1,KinomeScan (DiscoverX),403,"Screened at 1 µM, off-target PoC of 12%",https://www.thesgc.org/chemical-probes/SGC-CAMKK2-1,Kinase set,1 µM,,,,,,,
EUB0000168b_CAMKK2,SGC-CAMKK2-1N (UNC-YL-83),EUB0000168b,O=C(O)c1ccc(-c2coc3ncc(-c4ccccc4)cc23)cc1Cl,KHPDNSBTNDXSBL-UHFFFAOYSA-N,Protein Kinase,CAMKK2,10645,Q96RR4,"CAMKK, KIAA0787, CAMKKB, MGC15254",Negative control for SGC-CAMKK2-1 (UNC-YL-36),,,Negative Control,,https://www.thesgc.org/chemical-probes/SGC-CAMKK2-1,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
