id	inchikey	xref_id	source_xref	raw
1495	HSVRUECLQUGTDS-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.0c01895	www.doi.org/10.1021/acs.jmedchem.0c01895
1496	HSVRUECLQUGTDS-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ccell.2020.12.010	www.doi.org/10.1016/j.ccell.2020.12.010
1497	HSVRUECLQUGTDS-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	33829783	https://pubmed.ncbi.nlm.nih.gov/33829783/
1498	HSVRUECLQUGTDS-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	33450196	https://pubmed.ncbi.nlm.nih.gov/33450196/
1499	VUIRVWPJNKZOSS-UHFFFAOYSA-N	https://doi.org/	10.1021/jm5010495	http://pubs.acs.org/doi/10.1021/jm5010495
1500	VUIRVWPJNKZOSS-UHFFFAOYSA-N		http://www.nature.com/nchembio/journal/v10/n4/full/nchembio.1455.html	http://www.nature.com/nchembio/journal/v10/n4/full/nchembio.1455.html
1501	VUIRVWPJNKZOSS-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	25229643	http://www.ncbi.nlm.nih.gov/pubmed/25229643
1502	VUIRVWPJNKZOSS-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	24531842	https://www.ncbi.nlm.nih.gov/pubmed/24531842
1503	XMWUCMFVDXDRDE-NRFANRHFSA-N	https://doi.org/	10.1021/ml500315b	http://pubs.acs.org/doi/abs/10.1021/ml500315b
1504	XMWUCMFVDXDRDE-NRFANRHFSA-N	https://pubmed.ncbi.nlm.nih.gov/	25589933	https://www.ncbi.nlm.nih.gov/pubmed/25589933
1505	VIQXILLOJLATEF-UHFFFAOYSA-N	https://doi.org/	10.1038/s41467-017-00833-9	www.doi.org/10.1038/s41467-017-00833-9
1506	VIQXILLOJLATEF-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	28963528	https://pubmed.ncbi.nlm.nih.gov/28963528/
1507	UJGTUKMAJVCBIS-UHFFFAOYSA-N	https://doi.org/	10.1038/nchembio.1313	www.doi.org/10.1038/nchembio.1313
1508	UJGTUKMAJVCBIS-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	23892893	https://pubmed.ncbi.nlm.nih.gov/23892893/
1509	ZPNTXOKOIHPCLI-UHFFFAOYSA-N	https://doi.org/	10.1021/acsmedchemlett.9b00381	https://dx.doi.org/10.1021/acsmedchemlett.9b00381
1510	NVGROBHDOYRPAN-FPTDNZKUSA-N	https://doi.org/	10.1021/op200301h	https://dx.doi.org/10.1021/op200301h
1511	VKQBTIMLSDGNLG-QHCPKHFHSA-N	https://doi.org/	10.1021/acs.jmedchem.9b01382	https://dx.doi.org/10.1021/acs.jmedchem.9b01382
1512	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://doi.org/	10.1016/j.metabol.2012.07.010	www.doi.org/10.1016/j.metabol.2012.07.010
1513	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://doi.org/	10.1016/s0026-0495(96)90297-8	www.doi.org/10.1016/s0026-0495(96)90297-8
1514	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://doi.org/	10.1016/0024-3205(93)90448-c	www.doi.org/10.1016/0024-3205(93)90448-c
1515	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://doi.org/	10.1016/j.metabol.2012.07.010	www.doi.org/10.1016/j.metabol.2012.07.010
1516	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	2110566	https://www.ncbi.nlm.nih.gov/pubmed/2110566
1517	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	2117388	https://www.ncbi.nlm.nih.gov/pubmed/2117388
1518	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	6767639	https://www.ncbi.nlm.nih.gov/pubmed/6767639
1519	FAEKWTJYAYMJKF-QHCPKHFHSA-N	https://doi.org/	10.2337/diabetes.51.9.2789	https://doi.org/10.2337/diabetes.51.9.2789
1520	FAEKWTJYAYMJKF-QHCPKHFHSA-N	https://doi.org/	10.1016/j.bmcl.2004.07.059	https://doi.org/10.1016/j.bmcl.2004.07.059
1521	FAEKWTJYAYMJKF-QHCPKHFHSA-N	https://doi.org/	10.2337/diabetes.47.3.345	https://doi.org/10.2337/diabetes.47.3.345
1522	FAEKWTJYAYMJKF-QHCPKHFHSA-N	https://pubmed.ncbi.nlm.nih.gov/	12196472	https://www.ncbi.nlm.nih.gov/pubmed/12196472
1523	FAEKWTJYAYMJKF-QHCPKHFHSA-N	https://pubmed.ncbi.nlm.nih.gov/	15380228	https://www.ncbi.nlm.nih.gov/pubmed/15380228
1524	FAEKWTJYAYMJKF-QHCPKHFHSA-N	https://pubmed.ncbi.nlm.nih.gov/	9519738	https://www.ncbi.nlm.nih.gov/pubmed/9519738
1525	LYPAFUINURXJSG-AWEZNQCLSA-N	https://doi.org/	10.1021/acs.jmedchem.6b01751	www.doi.org/10.1021/acs.jmedchem.6b01751
1526	LYPAFUINURXJSG-AWEZNQCLSA-N	https://pubmed.ncbi.nlm.nih.gov/	28151659	https://pubmed.ncbi.nlm.nih.gov/28151659/
1527	JGWRKYUXBBNENE-UHFFFAOYSA-N	https://doi.org/	10.1056/NEJMoa1411366	https://dx.doi.org/10.1056/NEJMoa1411366
1528	RZLXOEIALAVGKH-UHFFFAOYSA-N	https://doi.org/	10.1021/acsmedchemlett.1c00096	https://dx.doi.org/10.1021/acsmedchemlett.1c00096
1529	ZKIQFLSGMMYCGS-SANMLTNESA-N	https://doi.org/	10.1039/C5MD00454C	www.doi.org/10.1039/C5MD00454C
1530	ZKIQFLSGMMYCGS-SANMLTNESA-N	https://doi.org/	10.1016/j.bcp.2009.03.032	www.doi.org/10.1016/j.bcp.2009.03.032
1531	ZKIQFLSGMMYCGS-SANMLTNESA-N	https://doi.org/	10.1038/nchembio.2229	www.doi.org/10.1038/nchembio.2229
1532	ZKIQFLSGMMYCGS-SANMLTNESA-N	https://pubmed.ncbi.nlm.nih.gov/	19439267	https://pubmed.ncbi.nlm.nih.gov/19439267/
1533	ZKIQFLSGMMYCGS-SANMLTNESA-N	https://pubmed.ncbi.nlm.nih.gov/	27820798	https://pubmed.ncbi.nlm.nih.gov/27820798/
1534	PMJIHLSCWIDGMD-UHFFFAOYSA-N	https://doi.org/	10.1074/jbc.M111.306472	https://dx.doi.org/10.1074/jbc.M111.306472
1535	NIHAFOURWLZLFN-UHFFFAOYSA-N	https://doi.org/	10.1021/acschemneuro.3c00135	https://dx.doi.org/10.1021/acschemneuro.3c00135
1536	KKMZWHRTQLNOCF-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.0c00227	https://dx.doi.org/10.1021/acs.jmedchem.0c00227
1537	NFHSJYKXENYICE-UHFFFAOYSA-N	https://doi.org/	10.1158/2767-9764.CRC-22-0477	https://dx.doi.org/10.1158/2767-9764.CRC-22-0477
1538	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://doi.org/	10.1021/ja102758v	http://pubs.acs.org/doi/abs/10.1021/ja102758v
1539	GOVYBPLHWIEHEJ-UHFFFAOYSA-N		http://mcb.asm.org/content/31/10/2066	http://mcb.asm.org/content/31/10/2066
1540	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.8b01936	www.doi.org/10.1021/acs.jmedchem.8b01936
1541	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://doi.org/	10.1074/jbc.M117.803775	www.doi.org/10.1074/jbc.M117.803775
1542	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	20614936	https://www.ncbi.nlm.nih.gov/pubmed/20614936
1543	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	21444725	https://www.ncbi.nlm.nih.gov/pubmed/21444725
1544	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	30964290	https://www.ncbi.nlm.nih.gov/pubmed/30964290
1545	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	28887310	https://www.ncbi.nlm.nih.gov/pubmed/28887310
1546	OJQMKCBWYCWFPU-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5b00698	https://dx.doi.org/10.1021/acs.jmedchem.5b00698
1547	WXTJCPHELGTTJU-FMKPAKJESA-N	https://doi.org/	10.1021/acs.jmedchem.3c01804	https://dx.doi.org/10.1021/acs.jmedchem.3c01804
1548	JYYLVUFNAHSSFE-UHFFFAOYSA-N	https://doi.org/	10.1021/jm101423y	https://dx.doi.org/10.1021/jm101423y
1549	DNVFTXQYIYFQBW-UHFFFAOYSA-N	https://doi.org/	10.1016/j.chembiol.2010.02.007	https://dx.doi.org/10.1016/j.chembiol.2010.02.007
1550	NDVITLLKZQXKGU-IBGZPJMESA-N	https://doi.org/	10.1097/CAD.0000000000001514	https://dx.doi.org/10.1097/CAD.0000000000001514
1551	QYJLBHRAPDJOSO-NVXWUHKLSA-N	https://doi.org/	10.1016/j.ccell.2025.02.006	https://dx.doi.org/10.1016/j.ccell.2025.02.006
1552	HEAUOKZIVMZVQL-VWLOTQADSA-N	https://doi.org/	10.1021/jm8006454	https://dx.doi.org/10.1021/jm8006454
1553	ASRLBLHATMXGPC-UHFFFAOYSA-N	https://doi.org/	10.1002/cmdc.202200686	https://dx.doi.org/10.1002/cmdc.202200686
1554	POKVQQVLRJLUAK-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00529	https://dx.doi.org/10.1021/acs.jmedchem.5c00529
1555	RKAFYSIKAVFVPS-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.0c01313	https://dx.doi.org/10.1021/acs.jmedchem.0c01313
1556	RKAFYSIKAVFVPS-UHFFFAOYSA-N	https://doi.org/	10.1182/blood.2022017813	https://dx.doi.org/10.1182/blood.2022017813
1557	XVGSKZXXLKUEIO-MRXNPFEDSA-N	https://doi.org/	10.1021/acs.jmedchem.2c01133	https://dx.doi.org/10.1021/acs.jmedchem.2c01133
1558	NRHPFMQPXSSELC-QHCPKHFHSA-N	https://doi.org/	10.1016/j.mcpro.2023.100609	https://dx.doi.org/10.1016/j.mcpro.2023.100609
1559	GJMZWYLOARVASY-NTCAYCPXSA-N		http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30386-5	http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30386-5
1560	GJMZWYLOARVASY-NTCAYCPXSA-N	https://pubmed.ncbi.nlm.nih.gov/	27840070	https://www.ncbi.nlm.nih.gov/pubmed/27840070
1561	KTBSXLIQKWEBRB-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejphar.2020.173505	https://dx.doi.org/10.1016/j.ejphar.2020.173505
1562	HXYXHSDYBDFOFO-INIZCTEOSA-N	https://doi.org/	10.1016/j.bmcl.2016.10.036	https://dx.doi.org/10.1016/j.bmcl.2016.10.036
1563	HHFWQMFTPDFWLM-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejmech.2025.117708	https://dx.doi.org/10.1016/j.ejmech.2025.117708
1564	FSQGWBXWGNWEAV-CMDGGOBGSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00121	https://dx.doi.org/10.1021/acs.jmedchem.5c00121
1565	OXTSYWDBUVRXFF-GDLZYMKVSA-N	https://doi.org/	10.1021/acs.jmedchem.1c01121	https://dx.doi.org/10.1021/acs.jmedchem.1c01121
1566	KRNAOFGYEFKHPB-ANJVHQHFSA-N	https://doi.org/	10.1021/jm3013147	https://dx.doi.org/10.1021/jm3013147
1567	LBFYQISQYCGDDW-UHFFFAOYSA-N		http://www.nature.com/nchembio/journal/v11/n12/full/nchembio.1952.html	http://www.nature.com/nchembio/journal/v11/n12/full/nchembio.1952.html
1568	LBFYQISQYCGDDW-UHFFFAOYSA-N	https://doi.org/	10.1021/jm501436m	http://pubs.acs.org/doi/abs/10.1021/jm501436m
1569	LBFYQISQYCGDDW-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5b01685	http://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.5b01685
1570	LBFYQISQYCGDDW-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	26502155	https://www.ncbi.nlm.nih.gov/pubmed/26502155
1571	LBFYQISQYCGDDW-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	25680029	https://www.ncbi.nlm.nih.gov/pubmed/25680029
1572	LBFYQISQYCGDDW-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	26796641	https://www.ncbi.nlm.nih.gov/pubmed/26796641
1573	WBFSPPPOPIJCLF-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00220	https://dx.doi.org/10.1021/acs.jmedchem.4c00220
1574	XFBJUMZGUOUWSC-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00563	https://dx.doi.org/10.1021/acs.jmedchem.5c00563
1575	JLIJJLLYTGASQX-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejmech.2023.115708	https://dx.doi.org/10.1016/j.ejmech.2023.115708
1576	FUEYCNUHTBZPRF-SVBPBHIXSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00656	https://dx.doi.org/10.1021/acs.jmedchem.4c00656
1577	KDTQFQYXTWVBCC-UHFFFAOYSA-N	https://doi.org/	10.1021/acschemneuro.5c00032	https://dx.doi.org/10.1021/acschemneuro.5c00032
1578	GSLHDZCTAHKMDW-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00472	https://dx.doi.org/10.1021/acs.jmedchem.5c00472
1579	DXAQGYQVEJTSTD-UHFFFAOYSA-N	https://doi.org/	10.1021/acschemneuro.5c00032	https://dx.doi.org/10.1021/acschemneuro.5c00032
1580	ODRITQGYYWHQGM-INIZCTEOSA-N	https://doi.org/	10.1021/acs.jmedchem.6b00597	https://dx.doi.org/10.1021/acs.jmedchem.6b00597
1581	BODASLVEZBWITD-ACCUITESSA-N	https://doi.org/	10.1016/j.ejmech.2024.117166	https://dx.doi.org/10.1016/j.ejmech.2024.117166
1582	XBWKVZHZUZNMJE-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.3c01980	https://dx.doi.org/10.1021/acs.jmedchem.3c01980
1583	OYMNPJXKQVTQTR-UHFFFAOYSA-N	https://doi.org/	10.1074/jbc.M311743200	https://dx.doi.org/10.1074/jbc.M311743200
1584	BXNMZRPTQFVRFA-QGZVFWFLSA-N	https://doi.org/	10.1021/ml500479v	https://dx.doi.org/10.1021/ml500479v
1585	WCWUXEGQKLTGDX-LLVKDONJSA-N	https://doi.org/	10.1021/jm051106d	www.di.org/10.1021/jm051106d
1586	WCWUXEGQKLTGDX-LLVKDONJSA-N	https://doi.org/	10.1007/s00280-009-1002-0	www.doi.org/10.1007/s00280-009-1002-0
1587	WCWUXEGQKLTGDX-LLVKDONJSA-N	https://pubmed.ncbi.nlm.nih.gov/	16570908	https://pubmed.ncbi.nlm.nih.gov/16570908/
1588	WCWUXEGQKLTGDX-LLVKDONJSA-N	https://pubmed.ncbi.nlm.nih.gov/	19396600	https://pubmed.ncbi.nlm.nih.gov/19396600/
1589	HTCJUBZBSJQWBW-CQSZACIVSA-N	https://doi.org/	10.1021/acs.jmedchem.0c00100	https://dx.doi.org/10.1021/acs.jmedchem.0c00100
1590	HTCJUBZBSJQWBW-CQSZACIVSA-N	https://doi.org/	10.1002/hep.31255	https://dx.doi.org/10.1002/hep.31255
1591	VSOUDUXMPUHJEU-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bmcl.2014.08.041	https://dx.doi.org/10.1016/j.bmcl.2014.08.041
1592	RSJAXPUYVJKAAA-JPGJPTAESA-N	https://doi.org/	10.1038/sj.bjp.0703162	www.doi.org/10.1038/sj.bjp.0703162
1593	RSJAXPUYVJKAAA-JPGJPTAESA-N	https://doi.org/	10.1016/s0014-2999(99)00650-0	www.doi.org/10.1016/s0014-2999(99)00650-0
1594	RSJAXPUYVJKAAA-JPGJPTAESA-N	https://pubmed.ncbi.nlm.nih.gov/	10725255	https://pubmed.ncbi.nlm.nih.gov/10725255/
1595	RSJAXPUYVJKAAA-JPGJPTAESA-N	https://pubmed.ncbi.nlm.nih.gov/	10611450	https://pubmed.ncbi.nlm.nih.gov/10611450/
1596	ATALOFNDEOCMKK-OITMNORJSA-N	https://doi.org/	10.1021/jm980299k	https://dx.doi.org/10.1021/jm980299k
1597	ATALOFNDEOCMKK-OITMNORJSA-N	https://doi.org/	10.1021/jm990617v	https://dx.doi.org/10.1021/jm990617v
1598	ATHZIFFSGSWIAU-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejphar.2016.04.022	https://dx.doi.org/10.1016/j.ejphar.2016.04.022
1599	UXZAJSZFFARTEI-YRPNKDGESA-N	https://doi.org/	10.1016/j.pbb.2019.172794	https://dx.doi.org/10.1016/j.pbb.2019.172794
1600	YHGBLECINAKBKX-UHFFFAOYSA-N	https://doi.org/	10.1124/molpharm.122.000662	https://dx.doi.org/10.1124/molpharm.122.000662
1601	NCWQLHHDGDXIJN-UHFFFAOYSA-N	https://doi.org/	10.1136/jitc-2019-000417	https://dx.doi.org/10.1136/jitc-2019-000417
1602	OAEWNSKRLBVVBV-QSEAXJEQSA-N	https://doi.org/	10.1016/s0014-2999(98)00891-7	https://dx.doi.org/10.1016/s0014-2999(98)00891-7
1603	QLOHOGRMRUDDPM-LBPRGKRZSA-N	https://doi.org/	10.1021/acs.jmedchem.3c00630	https://dx.doi.org/10.1021/acs.jmedchem.3c00630
1604	FOBFICSYUINKAA-XMMPIXPASA-N	https://doi.org/	10.1021/jm0108449	https://dx.doi.org/10.1021/jm0108449
1605	PUKBOVABABRILL-YZNIXAGQSA-N	https://doi.org/	10.1371/journal.pone.0164646	https://dx.doi.org/10.1371/journal.pone.0164646
1606	FJZNNKJZHQFMCK-LRDDRELGSA-N	https://doi.org/	10.1021/acs.jmedchem.9b02101	https://dx.doi.org/10.1021/acs.jmedchem.9b02101
1607	BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://doi.org/	10.1021/ml1000855	www.doi.org/10.1021/ml1000855
1608	BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://doi.org/	10.1124/jpet.111.183772	www.doi.org/10.1124/jpet.111.183772
1609	BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://pubmed.ncbi.nlm.nih.gov/	24900210	https://pubmed.ncbi.nlm.nih.gov/24900210/
1610	BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://pubmed.ncbi.nlm.nih.gov/	21752941	https://pubmed.ncbi.nlm.nih.gov/21752941/
1611	KDFQABSFVYLGPM-QFIPXVFZSA-N	https://doi.org/	10.1021/jm00121a004	https://dx.doi.org/10.1021/jm00121a004
1612	KDFQABSFVYLGPM-QFIPXVFZSA-N	https://pubmed.ncbi.nlm.nih.gov/	1355713	https://pubmed.ncbi.nlm.nih.gov/1355713
1613	PZGSYNNVPNLHQG-SANMLTNESA-N	https://doi.org/	10.1021/acs.jmedchem.0c01076	https://dx.doi.org/10.1021/acs.jmedchem.0c01076
1614	OGJGQVFWEPNYSB-UHFFFAOYSA-N	https://doi.org/	10.1021/jm9600712	https://dx.doi.org/10.1021/jm9600712
1615	OGJGQVFWEPNYSB-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	9353380	https://pubmed.ncbi.nlm.nih.gov/9353380
1616	AGVNHDNTFYHZNL-QGZVFWFLSA-N	https://doi.org/	10.1021/jm970519e	https://dx.doi.org/10.1021/jm970519e
1617	VXNAMCLMCBLNOL-NFQMXDRXSA-N		https://pubmed.ncbi.nlm.nih.gov/Peer reviewed at SGC	https://pubmed.ncbi.nlm.nih.gov/Peer reviewed at SGC
1618	HVVLGXULBVAFRZ-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.2c01690	https://dx.doi.org/10.1021/acs.jmedchem.2c01690
1619	HLCHESOMJVGDSJ-LOYHVIPDSA-N	https://doi.org/	10.1021/jm025539h	https://dx.doi.org/10.1021/jm025539h
1620	VOSAWOSMGPKQEQ-OALUTQOASA-N	https://doi.org/	10.1124/jpet.122.001449	https://dx.doi.org/10.1124/jpet.122.001449
1621	DTCZNKWBDTXEBS-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00293	https://dx.doi.org/10.1021/acs.jmedchem.4c00293
1622	PTOIAAWZLUQTIO-GXFFZTMASA-N	https://doi.org/	10.1016/j.neuropharm.2014.12.004	https://dx.doi.org/10.1016/j.neuropharm.2014.12.004
1623	TYXSIXOYTBHZFA-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bmc.2017.03.064	https://doi.org/10.1016/j.bmc.2017.03.064
1624	TYXSIXOYTBHZFA-UHFFFAOYSA-N	https://doi.org/	10.1124/jpet.117.242925	https://doi.org/10.1124/jpet.117.242925
