inchikey	xref_id	source_xref	raw
XVGSKZXXLKUEIO-MRXNPFEDSA-N	https://doi.org/	10.1021/acs.jmedchem.2c01133	https://dx.doi.org/10.1021/acs.jmedchem.2c01133
NRHPFMQPXSSELC-QHCPKHFHSA-N	https://doi.org/	10.1016/j.mcpro.2023.100609	https://dx.doi.org/10.1016/j.mcpro.2023.100609
GJMZWYLOARVASY-NTCAYCPXSA-N		http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30386-5	http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30386-5
GJMZWYLOARVASY-NTCAYCPXSA-N	https://pubmed.ncbi.nlm.nih.gov/	27840070	https://www.ncbi.nlm.nih.gov/pubmed/27840070
KTBSXLIQKWEBRB-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejphar.2020.173505	https://dx.doi.org/10.1016/j.ejphar.2020.173505
HXYXHSDYBDFOFO-INIZCTEOSA-N	https://doi.org/	10.1016/j.bmcl.2016.10.036	https://dx.doi.org/10.1016/j.bmcl.2016.10.036
HHFWQMFTPDFWLM-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejmech.2025.117708	https://dx.doi.org/10.1016/j.ejmech.2025.117708
FSQGWBXWGNWEAV-CMDGGOBGSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00121	https://dx.doi.org/10.1021/acs.jmedchem.5c00121
OXTSYWDBUVRXFF-GDLZYMKVSA-N	https://doi.org/	10.1021/acs.jmedchem.1c01121	https://dx.doi.org/10.1021/acs.jmedchem.1c01121
KRNAOFGYEFKHPB-ANJVHQHFSA-N	https://doi.org/	10.1021/jm3013147	https://dx.doi.org/10.1021/jm3013147
LBFYQISQYCGDDW-UHFFFAOYSA-N		http://www.nature.com/nchembio/journal/v11/n12/full/nchembio.1952.html	http://www.nature.com/nchembio/journal/v11/n12/full/nchembio.1952.html
LBFYQISQYCGDDW-UHFFFAOYSA-N	https://doi.org/	10.1021/jm501436m	http://pubs.acs.org/doi/abs/10.1021/jm501436m
LBFYQISQYCGDDW-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5b01685	http://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.5b01685
LBFYQISQYCGDDW-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	26502155	https://www.ncbi.nlm.nih.gov/pubmed/26502155
LBFYQISQYCGDDW-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	25680029	https://www.ncbi.nlm.nih.gov/pubmed/25680029
LBFYQISQYCGDDW-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	26796641	https://www.ncbi.nlm.nih.gov/pubmed/26796641
WBFSPPPOPIJCLF-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00220	https://dx.doi.org/10.1021/acs.jmedchem.4c00220
XFBJUMZGUOUWSC-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00563	https://dx.doi.org/10.1021/acs.jmedchem.5c00563
JLIJJLLYTGASQX-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejmech.2023.115708	https://dx.doi.org/10.1016/j.ejmech.2023.115708
FUEYCNUHTBZPRF-SVBPBHIXSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00656	https://dx.doi.org/10.1021/acs.jmedchem.4c00656
KDTQFQYXTWVBCC-UHFFFAOYSA-N	https://doi.org/	10.1021/acschemneuro.5c00032	https://dx.doi.org/10.1021/acschemneuro.5c00032
GSLHDZCTAHKMDW-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00472	https://dx.doi.org/10.1021/acs.jmedchem.5c00472
DXAQGYQVEJTSTD-UHFFFAOYSA-N	https://doi.org/	10.1021/acschemneuro.5c00032	https://dx.doi.org/10.1021/acschemneuro.5c00032
ODRITQGYYWHQGM-INIZCTEOSA-N	https://doi.org/	10.1021/acs.jmedchem.6b00597	https://dx.doi.org/10.1021/acs.jmedchem.6b00597
BODASLVEZBWITD-ACCUITESSA-N	https://doi.org/	10.1016/j.ejmech.2024.117166	https://dx.doi.org/10.1016/j.ejmech.2024.117166
XBWKVZHZUZNMJE-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.3c01980	https://dx.doi.org/10.1021/acs.jmedchem.3c01980
OYMNPJXKQVTQTR-UHFFFAOYSA-N	https://doi.org/	10.1074/jbc.M311743200	https://dx.doi.org/10.1074/jbc.M311743200
BXNMZRPTQFVRFA-QGZVFWFLSA-N	https://doi.org/	10.1021/ml500479v	https://dx.doi.org/10.1021/ml500479v
WCWUXEGQKLTGDX-LLVKDONJSA-N	https://doi.org/	10.1021/jm051106d	www.di.org/10.1021/jm051106d
WCWUXEGQKLTGDX-LLVKDONJSA-N	https://doi.org/	10.1007/s00280-009-1002-0	www.doi.org/10.1007/s00280-009-1002-0
WCWUXEGQKLTGDX-LLVKDONJSA-N	https://pubmed.ncbi.nlm.nih.gov/	16570908	https://pubmed.ncbi.nlm.nih.gov/16570908/
WCWUXEGQKLTGDX-LLVKDONJSA-N	https://pubmed.ncbi.nlm.nih.gov/	19396600	https://pubmed.ncbi.nlm.nih.gov/19396600/
HTCJUBZBSJQWBW-CQSZACIVSA-N	https://doi.org/	10.1021/acs.jmedchem.0c00100	https://dx.doi.org/10.1021/acs.jmedchem.0c00100
HTCJUBZBSJQWBW-CQSZACIVSA-N	https://doi.org/	10.1002/hep.31255	https://dx.doi.org/10.1002/hep.31255
VSOUDUXMPUHJEU-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bmcl.2014.08.041	https://dx.doi.org/10.1016/j.bmcl.2014.08.041
RSJAXPUYVJKAAA-JPGJPTAESA-N	https://doi.org/	10.1038/sj.bjp.0703162	www.doi.org/10.1038/sj.bjp.0703162
RSJAXPUYVJKAAA-JPGJPTAESA-N	https://doi.org/	10.1016/s0014-2999(99)00650-0	www.doi.org/10.1016/s0014-2999(99)00650-0
RSJAXPUYVJKAAA-JPGJPTAESA-N	https://pubmed.ncbi.nlm.nih.gov/	10725255	https://pubmed.ncbi.nlm.nih.gov/10725255/
RSJAXPUYVJKAAA-JPGJPTAESA-N	https://pubmed.ncbi.nlm.nih.gov/	10611450	https://pubmed.ncbi.nlm.nih.gov/10611450/
ATALOFNDEOCMKK-OITMNORJSA-N	https://doi.org/	10.1021/jm980299k	https://dx.doi.org/10.1021/jm980299k
ATALOFNDEOCMKK-OITMNORJSA-N	https://doi.org/	10.1021/jm990617v	https://dx.doi.org/10.1021/jm990617v
ATHZIFFSGSWIAU-UHFFFAOYSA-N	https://doi.org/	10.1016/j.ejphar.2016.04.022	https://dx.doi.org/10.1016/j.ejphar.2016.04.022
UXZAJSZFFARTEI-YRPNKDGESA-N	https://doi.org/	10.1016/j.pbb.2019.172794	https://dx.doi.org/10.1016/j.pbb.2019.172794
YHGBLECINAKBKX-UHFFFAOYSA-N	https://doi.org/	10.1124/molpharm.122.000662	https://dx.doi.org/10.1124/molpharm.122.000662
NCWQLHHDGDXIJN-UHFFFAOYSA-N	https://doi.org/	10.1136/jitc-2019-000417	https://dx.doi.org/10.1136/jitc-2019-000417
OAEWNSKRLBVVBV-QSEAXJEQSA-N	https://doi.org/	10.1016/s0014-2999(98)00891-7	https://dx.doi.org/10.1016/s0014-2999(98)00891-7
QLOHOGRMRUDDPM-LBPRGKRZSA-N	https://doi.org/	10.1021/acs.jmedchem.3c00630	https://dx.doi.org/10.1021/acs.jmedchem.3c00630
FOBFICSYUINKAA-XMMPIXPASA-N	https://doi.org/	10.1021/jm0108449	https://dx.doi.org/10.1021/jm0108449
PUKBOVABABRILL-YZNIXAGQSA-N	https://doi.org/	10.1371/journal.pone.0164646	https://dx.doi.org/10.1371/journal.pone.0164646
FJZNNKJZHQFMCK-LRDDRELGSA-N	https://doi.org/	10.1021/acs.jmedchem.9b02101	https://dx.doi.org/10.1021/acs.jmedchem.9b02101
BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://doi.org/	10.1021/ml1000855	www.doi.org/10.1021/ml1000855
BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://doi.org/	10.1124/jpet.111.183772	www.doi.org/10.1124/jpet.111.183772
BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://pubmed.ncbi.nlm.nih.gov/	24900210	https://pubmed.ncbi.nlm.nih.gov/24900210/
BZCALJIHZVNMGJ-HSZRJFAPSA-N	https://pubmed.ncbi.nlm.nih.gov/	21752941	https://pubmed.ncbi.nlm.nih.gov/21752941/
KDFQABSFVYLGPM-QFIPXVFZSA-N	https://doi.org/	10.1021/jm00121a004	https://dx.doi.org/10.1021/jm00121a004
KDFQABSFVYLGPM-QFIPXVFZSA-N	https://pubmed.ncbi.nlm.nih.gov/	1355713	https://pubmed.ncbi.nlm.nih.gov/1355713
PZGSYNNVPNLHQG-SANMLTNESA-N	https://doi.org/	10.1021/acs.jmedchem.0c01076	https://dx.doi.org/10.1021/acs.jmedchem.0c01076
OGJGQVFWEPNYSB-UHFFFAOYSA-N	https://doi.org/	10.1021/jm9600712	https://dx.doi.org/10.1021/jm9600712
OGJGQVFWEPNYSB-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	9353380	https://pubmed.ncbi.nlm.nih.gov/9353380
AGVNHDNTFYHZNL-QGZVFWFLSA-N	https://doi.org/	10.1021/jm970519e	https://dx.doi.org/10.1021/jm970519e
VXNAMCLMCBLNOL-NFQMXDRXSA-N		https://pubmed.ncbi.nlm.nih.gov/Peer reviewed at SGC	https://pubmed.ncbi.nlm.nih.gov/Peer reviewed at SGC
HVVLGXULBVAFRZ-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.2c01690	https://dx.doi.org/10.1021/acs.jmedchem.2c01690
HLCHESOMJVGDSJ-LOYHVIPDSA-N	https://doi.org/	10.1021/jm025539h	https://dx.doi.org/10.1021/jm025539h
VOSAWOSMGPKQEQ-OALUTQOASA-N	https://doi.org/	10.1124/jpet.122.001449	https://dx.doi.org/10.1124/jpet.122.001449
DTCZNKWBDTXEBS-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00293	https://dx.doi.org/10.1021/acs.jmedchem.4c00293
PTOIAAWZLUQTIO-GXFFZTMASA-N	https://doi.org/	10.1016/j.neuropharm.2014.12.004	https://dx.doi.org/10.1016/j.neuropharm.2014.12.004
TYXSIXOYTBHZFA-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bmc.2017.03.064	https://doi.org/10.1016/j.bmc.2017.03.064
TYXSIXOYTBHZFA-UHFFFAOYSA-N	https://doi.org/	10.1124/jpet.117.242925	https://doi.org/10.1124/jpet.117.242925
TYXSIXOYTBHZFA-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	28433511	https://www.ncbi.nlm.nih.gov/pubmed/28433511
TYXSIXOYTBHZFA-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	28851764	https://www.ncbi.nlm.nih.gov/pubmed/28851764
PMEQBGAGFZDWQX-UHFFFAOYSA-N	https://doi.org/	10.1124/mol.109.058677	https://dx.doi.org/10.1124/mol.109.058677
PMEQBGAGFZDWQX-UHFFFAOYSA-N	https://doi.org/	10.1021/acschemneuro.9b00082	https://dx.doi.org/10.1021/acschemneuro.9b00082
ZPCGODCPRDIFRQ-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c01401	https://dx.doi.org/10.1021/acs.jmedchem.5c01401
QXURFIGBRGWPQD-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.8b01606	https://doi.org/10.1021/acs.jmedchem.8b01606
QXURFIGBRGWPQD-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	30563338	https://www.ncbi.nlm.nih.gov/pubmed/30563338
AFJRYPJIKHMNGL-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bmcl.2009.08.053	https://dx.doi.org/10.1016/j.bmcl.2009.08.053
AFJRYPJIKHMNGL-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bcp.2013.02.004	https://dx.doi.org/10.1016/j.bcp.2013.02.004
LPORLBPACXEOET-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c01938	https://dx.doi.org/10.1021/acs.jmedchem.5c01938
GQCXHIKRWBIQMD-AKJBCIBTSA-N	https://doi.org/	10.1021/acs.jmedchem.1c00847	https://dx.doi.org/10.1021/acs.jmedchem.1c00847
QAKJEKTXKXAPBP-MGCURZBSSA-N	https://doi.org/	10.1016/j.chembiol.2025.06.005	https://dx.doi.org/10.1016/j.chembiol.2025.06.005
ODOJVROSIRINJT-LJQANCHMSA-N	https://doi.org/	10.1021/acs.jmedchem.3c01807	https://dx.doi.org/10.1021/acs.jmedchem.3c01807
ZUFHZMHKCFCIHV-JRFCFUNGSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00238	https://dx.doi.org/10.1021/acs.jmedchem.5c00238
LTNDTFYBIKTRBQ-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00884	https://dx.doi.org/10.1021/acs.jmedchem.5c00884
OVUNRYUVDVWTTE-UHFFFAOYSA-N	https://doi.org/	10.1007/s00213-009-1726-x	https://dx.doi.org/10.1007/s00213-009-1726-x
HUOLMBXGHHSYHC-QWQFASRJSA-N	https://doi.org/	10.1038/s42003-023-05655-8	https://dx.doi.org/10.1038/s42003-023-05655-8
HUOLMBXGHHSYHC-QWQFASRJSA-N	https://doi.org/	10.1016/j.ejmech.2025.117488	https://dx.doi.org/10.1016/j.ejmech.2025.117488
CEGVLCNHZDUFIJ-NSHDSACASA-N	https://doi.org/	10.1021/acs.jmedchem.5c00781	https://dx.doi.org/10.1021/acs.jmedchem.5c00781
ZVDNXHUSIKGTSF-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c01580	https://dx.doi.org/10.1021/acs.jmedchem.4c01580
QJWQAZTYFYCFQU-RMKNXTFCSA-N	https://doi.org/	10.1021/acs.jmedchem.3c00732	https://dx.doi.org/10.1021/acs.jmedchem.3c00732
NORRDWRSNUOCBV-XCIZWWPASA-N	https://doi.org/	10.1021/acs.jmedchem.3c02124	https://dx.doi.org/10.1021/acs.jmedchem.3c02124
BFMWIVWPPKENIN-AWEZNQCLSA-N	https://doi.org/	10.1021/acs.jmedchem.5c02593	https://dx.doi.org/10.1021/acs.jmedchem.5c02593
CLCTZVRHDOAUGJ-SYVGMNBRSA-N	https://doi.org/	10.1158/1535-7163.MCT-23-0655	https://dx.doi.org/10.1158/1535-7163.MCT-23-0655
CLCTZVRHDOAUGJ-SYVGMNBRSA-N	https://doi.org/	10.3390/molecules27061977	https://dx.doi.org/10.3390/molecules27061977
JNTJTCXFIXNXDV-VIFPVBQESA-N	https://doi.org/	10.1021/acsmedchemlett.4c00336	https://dx.doi.org/10.1021/acsmedchemlett.4c00336
DTWUUAFTYSMNQX-GFCCVEGCSA-N	https://doi.org/	10.1158/2159-8290.CD-22-0968	https://dx.doi.org/10.1158/2159-8290.CD-22-0968
FZJKQMONKPFLEO-NZIMVQFPSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00809	https://dx.doi.org/10.1021/acs.jmedchem.5c00809
JFHROPTYMMSOLG-UHFFFAOYSA-N	https://doi.org/	10.1016/j.bmcl.2009.04.012	https://dx.doi.org/10.1016/j.bmcl.2009.04.012
BZJPCUQQPJJBTP-FGZHOGPDSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00665	https://dx.doi.org/10.1021/acs.jmedchem.4c00665
OLAGZWUBPYQCBR-JSKJCRAUSA-N	https://doi.org/	10.1016/j.ejmech.2024.116843	https://dx.doi.org/10.1016/j.ejmech.2024.116843
KVDLSQZBDWJNSG-VINRIKPSSA-N	https://doi.org/	10.1016/j.immuni.2024.04.025	https://dx.doi.org/10.1016/j.immuni.2024.04.025
ISQCXAWAHDJCRH-FKDRFZFOSA-N	https://doi.org/	10.1021/acs.jmedchem.4c01818	https://dx.doi.org/10.1021/acs.jmedchem.4c01818
JBTHUOYYUUPUOZ-LIHPQFRDSA-N	https://doi.org/	10.1038/s41467-022-33430-6	https://dx.doi.org/10.1038/s41467-022-33430-6
PTARASCXNREVCH-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c01130	https://dx.doi.org/10.1021/acs.jmedchem.4c01130
AJQAXIIJKPCAOP-XVNGORCSSA-N	https://doi.org/	10.1016/j.heliyon.2024.e37829	https://dx.doi.org/10.1016/j.heliyon.2024.e37829
PLCITURFVJNAFH-GUQHISFFSA-N		https://pubmed.ncbi.nlm.nih.gov/Peer reviewed at SGC	https://pubmed.ncbi.nlm.nih.gov/Peer reviewed at SGC
NIQFZCJNEODJTE-CSIWTOAPSA-N	https://doi.org/	10.1002/anie.202302364	https://dx.doi.org/10.1002/anie.202302364
DYDFSGCLYIZSAQ-UHFFFAOYSA-N	https://doi.org/	10.1038/s44321-024-00181-4	https://dx.doi.org/10.1038/s44321-024-00181-4
ANAOJSKQILNLRY-MWTRTKDXSA-N	https://doi.org/	10.1038/s41467-025-65847-0	https://dx.doi.org/10.1038/s41467-025-65847-0
FIFRHLLUVCAOIK-SJCJKPOMSA-N	https://doi.org/	10.1021/acs.jmedchem.5c01526	https://dx.doi.org/10.1021/acs.jmedchem.5c01526
MMHYOHYLSFWJJB-ZDUSSCGKSA-N		https://pubmed.ncbi.nlm.nih.gov/peer reviewed at SGC	https://pubmed.ncbi.nlm.nih.gov/peer reviewed at SGC
YPXUKPNZQTWCRR-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c02751	https://dx.doi.org/10.1021/acs.jmedchem.4c02751
DJOZFERTDDZPJO-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00197	https://dx.doi.org/10.1021/acs.jmedchem.5c00197
YOOKRVNCYQFKCT-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5c01204	https://dx.doi.org/10.1021/acs.jmedchem.5c01204
RGHSVQHKNJAFGR-QFIPXVFZSA-N	https://doi.org/	10.1016/j.neurot.2025.e00610	https://dx.doi.org/10.1016/j.neurot.2025.e00610
XHMSDQXEIBTTBE-QFIPXVFZSA-N	https://doi.org/	10.1038/s41467-025-59919-4	https://dx.doi.org/10.1038/s41467-025-59919-4
FFUVDKANSJZSAK-JDXGNMNLSA-N	https://doi.org/	10.1038/s41467-024-51889-3	https://dx.doi.org/10.1038/s41467-024-51889-3
XRAUKWUDYSUHJM-LLVKDONJSA-N	https://doi.org/	10.1021/acs.jmedchem.4c02019	https://dx.doi.org/10.1021/acs.jmedchem.4c02019
IYFKRANQUJUTKF-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.3c00274	https://dx.doi.org/10.1021/acs.jmedchem.3c00274
LDFDXTNMCGLUMQ-YGKODULZSA-N	https://doi.org/	10.1021/acs.jmedchem.5c00026	https://dx.doi.org/10.1021/acs.jmedchem.5c00026
RIEBAXQZOMUWKX-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c01617	https://dx.doi.org/10.1021/acs.jmedchem.4c01617
LPDOIXPRZOWBJV-HOCLYGCPSA-N	https://doi.org/	10.1016/j.bmcl.2024.129930	https://dx.doi.org/10.1016/j.bmcl.2024.129930
HGQYUHFFAIXWDI-GOSISDBHSA-N	https://doi.org/	10.1021/acs.jmedchem.5c02200	https://dx.doi.org/10.1021/acs.jmedchem.5c02200
APEYSKGQWJKJAZ-LCLGPXMOSA-N	https://doi.org/	10.1021/acs.jmedchem.2c01505	https://dx.doi.org/10.1021/acs.jmedchem.2c01505
FHFUBRLTXZVOQX-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.4c00836	https://dx.doi.org/10.1021/acs.jmedchem.4c00836
CLUWNSLFLMBFKA-RMCUFUCFSA-N	https://doi.org/	10.1021/acs.jmedchem.3c02394	https://dx.doi.org/10.1021/acs.jmedchem.3c02394
PWYJKWQDDHJXMJ-YKCITUTQSA-N	https://doi.org/	10.1021/acs.jmedchem.4c02201	https://dx.doi.org/10.1021/acs.jmedchem.4c02201
GPZKXLCJTKULAU-UHFFFAOYSA-N	https://doi.org/	10.1016/j.apsb.2024.07.016	https://dx.doi.org/10.1016/j.apsb.2024.07.016
